com.vtcreator.android360	3.8	10114	19	com.dropbox.sync.android.DbxAccountManager	validateAppContext	android.permission.INTERNET",android.permission.ACCESS_NETWORK_STATE"	CUSTOM	<com.dropbox.sync.android.DbxAccountManager: com.dropbox.sync.android.DbxAccountManager getInstance(android.content.Context,com.dropbox.sync.android.DbxConfig)>, CUSTOM;<com.dropbox.sync.android.DbxAccountManager: com.dropbox.sync.android.DbxAccountManager getInstance(android.content.Context,java.lang.String,java.lang.String)>, CUSTOM;<com.vtcreator.android360.activities.PanoramaEditActivity: void uploadToDropbox()>, ACTIVITY;<com.vtcreator.android360.activities.PanoramaEditActivity: void onActivityResult(int,int,android.content.Intent)>, ACTIVITY;
com.sowapps.op3n	1.3.5	49	23	com.sowapps.op3n.navigation.aroundme.AroundMeFragment	onViewCreated	android.permission.ACCESS_FINE_LOCATION",android.permission.ACCESS_FINE_LOCATION	FRAGMENT	
com.lolaage.tbulu.tools	4.7.0	279	21	com.umeng.update.UmengUpdateAgent	c	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,android.permission.INTERNET	CUSTOM	<com.umeng.update.UmengUpdateAgent: void b(android.content.Context)>, CUSTOM;<com.umeng.update.UmengUpdateAgent: void update(android.content.Context)>, CUSTOM;<com.lolaage.tbulu.tools.utils.ea: void a(android.content.Context,com.umeng.update.UmengUpdateListener)>, CUSTOM;<com.lolaage.tbulu.tools.utils.ea: void a(android.content.Context)>, CUSTOM;<com.lolaage.tbulu.tools.ui.activity.main.MainActivity: void onResume()>, ACTIVITY;
com.lolaage.tbulu.tools	4.7.0	279	21	com.umeng.update.net.c	a	android.permission.ACCESS_NETWORK_STATE"	CUSTOM	<com.umeng.update.net.DownloadingService: int onStartCommand(android.content.Intent,int,int)>, SERVICE;
com.lolaage.tbulu.tools	4.7.0	279	21	com.umeng.socialize.net.utils.SocializeNetUtils	getBaseQuery	android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_WIFI_STATE"	CUSTOM	<com.umeng.socialize.net.base.SocializeRequest: java.util.Map getBodyPair()>, CUSTOM;<com.umeng.socialize.net.utils.UClient: org.json.JSONObject httpRequestPost(java.lang.String,com.umeng.socialize.net.utils.URequest)>, CUSTOM;<com.umeng.socialize.net.utils.UClient: com.umeng.socialize.net.utils.UResponse execute(com.umeng.socialize.net.utils.URequest,java.lang.Class)>, CUSTOM;<com.umeng.socialize.net.base.SocializeClient: com.umeng.socialize.net.base.SocializeReseponse execute(com.umeng.socialize.net.base.SocializeRequest)>, CUSTOM;<com.umeng.socialize.controller.impl.m: com.umeng.socialize.bean.MultiStatus follow(android.content.Context,com.umeng.socialize.bean.SNSPair,java.lang.String[])>, CUSTOM;<com.umeng.socialize.controller.impl.InitializeController: com.umeng.socialize.bean.MultiStatus follow(android.content.Context,com.umeng.socialize.bean.SNSPair,java.lang.String[])>, CUSTOM;<com.umeng.socialize.controller.impl.aa: com.umeng.socialize.bean.MultiStatus a()>, ASYNC_TASK;<com.umeng.socialize.controller.impl.aa: java.lang.Object doInBackground()>, ASYNC_TASK;<com.umeng.socialize.common.UMAsyncTask$1: void run()>, ASYNC_TASK;<com.umeng.socialize.common.UMAsyncTask: com.umeng.socialize.common.UMAsyncTask execute()>, ASYNC_TASK;<com.umeng.socialize.view.ShareActivity: void f()>, ACTIVITY;<com.umeng.socialize.view.ShareActivity: void e()>, ACTIVITY;<com.umeng.socialize.view.ShareActivity: void onResume()>, ACTIVITY;
com.lolaage.tbulu.tools	4.7.0	279	21	d.b.a	j	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<d.b.a: boolean k(android.content.Context)>, CUSTOM;<com.umeng.update.UmengUpdateAgent: void b(android.content.Context)>, CUSTOM;<com.umeng.update.UmengUpdateAgent: void update(android.content.Context)>, CUSTOM;<com.lolaage.tbulu.tools.utils.ea: void a(android.content.Context,com.umeng.update.UmengUpdateListener)>, CUSTOM;<com.lolaage.tbulu.tools.utils.ea: void a(android.content.Context)>, CUSTOM;<com.lolaage.tbulu.tools.ui.activity.main.MainActivity: void onResume()>, ACTIVITY;
com.lolaage.tbulu.tools	4.7.0	279	21	com.umeng.fb.util.DeviceConfig	getNetworkAccessMode	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<com.umeng.fb.util.Helper: org.json.JSONObject getMessageHeader(android.content.Context)>, CUSTOM;<com.umeng.fb.net.FbClient: void addRequestHeader(org.json.JSONObject)>, CUSTOM;<com.umeng.fb.net.FbClient: boolean sendUserTitleReply(com.umeng.fb.model.UserTitleReply)>, CUSTOM;<com.umeng.fb.net.FbClient: boolean sendReply(com.umeng.fb.model.Reply)>, CUSTOM;<com.umeng.fb.model.Conversation$1: void run()>, CUSTOM;<com.umeng.fb.model.Conversation: void sync(com.umeng.fb.model.Conversation$SyncListener)>, CUSTOM;<com.lolaage.tbulu.tools.utils.dy: void b()>, CUSTOM;<com.lolaage.tbulu.tools.ui.activity.main.MainActivity: void onResume()>, ACTIVITY;
com.lolaage.tbulu.tools	4.7.0	279	21	com.umeng.message.proguard.g	a	android.permission.WRITE_SETTINGS,android.permission.INTERNET,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WAKE_LOCK,android.permission.WAKE_LOCK,android.permission.READ_PHONE_STATE,android.permission.READ_PHONE_STATE,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.GET_TASKS,android.permission.GET_TASKS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECEIVE_BOOT_COMPLETED	CUSTOM	<com.umeng.message.PushAgent: void enable()>, CUSTOM;<com.lolaage.tbulu.tools.ui.activity.WelcomeActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.lolaage.tbulu.tools	4.7.0	279	21	com.umeng.socialize.utils.DeviceConfig	getNetworkAccessMode	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<com.umeng.socialize.net.utils.SocializeNetUtils: java.util.Map getBaseQuery(android.content.Context,com.umeng.socialize.bean.SocializeEntity,int)>, CUSTOM;<com.umeng.socialize.net.base.SocializeRequest: java.util.Map getBodyPair()>, CUSTOM;<com.umeng.socialize.net.utils.UClient: org.json.JSONObject httpRequestPost(java.lang.String,com.umeng.socialize.net.utils.URequest)>, CUSTOM;<com.umeng.socialize.net.utils.UClient: com.umeng.socialize.net.utils.UResponse execute(com.umeng.socialize.net.utils.URequest,java.lang.Class)>, CUSTOM;<com.umeng.socialize.net.base.SocializeClient: com.umeng.socialize.net.base.SocializeReseponse execute(com.umeng.socialize.net.base.SocializeRequest)>, CUSTOM;<com.umeng.socialize.controller.impl.m: com.umeng.socialize.bean.MultiStatus follow(android.content.Context,com.umeng.socialize.bean.SNSPair,java.lang.String[])>, CUSTOM;<com.umeng.socialize.controller.impl.InitializeController: com.umeng.socialize.bean.MultiStatus follow(android.content.Context,com.umeng.socialize.bean.SNSPair,java.lang.String[])>, CUSTOM;<com.umeng.socialize.controller.impl.aa: com.umeng.socialize.bean.MultiStatus a()>, ASYNC_TASK;<com.umeng.socialize.controller.impl.aa: java.lang.Object doInBackground()>, ASYNC_TASK;<com.umeng.socialize.common.UMAsyncTask$1: void run()>, ASYNC_TASK;<com.umeng.socialize.common.UMAsyncTask: com.umeng.socialize.common.UMAsyncTask execute()>, ASYNC_TASK;<com.umeng.socialize.view.ShareActivity: void f()>, ACTIVITY;<com.umeng.socialize.view.ShareActivity: void e()>, ACTIVITY;<com.umeng.socialize.view.ShareActivity: void onResume()>, ACTIVITY;
jp.shade.qsgmDGunsSPzs32	2.3.9	239	-1	com.openfeint.internal.OpenFeintInternal	validateManifest	android.permission.INTERNET	CUSTOM	<com.openfeint.internal.OpenFeintInternal: void initializeWithoutLoggingIn(android.content.Context,com.openfeint.api.OpenFeintSettings,com.openfeint.api.OpenFeintDelegate)>, CUSTOM;<com.openfeint.internal.OpenFeintInternal: void initialize(android.content.Context,com.openfeint.api.OpenFeintSettings,com.openfeint.api.OpenFeintDelegate)>, CUSTOM;<com.openfeint.api.OpenFeint: void initialize(android.content.Context,com.openfeint.api.OpenFeintSettings,com.openfeint.api.OpenFeintDelegate)>, CUSTOM;<jp.shade.DGunsSP.OpenFeintApplication: void onCreate()>, CUSTOM;<com.myapplication.MyApp: void onCreate()>, CUSTOM;
